date,equity,cash,position_value,open_positions,exposure,turnover_cash,regime,daily_return
2022-09-02,990270.6353631311,633815.9147465607,356454.7206165703,1,0.3599568722805345,40929480.85358401,neutral,0.0427905436298357
2022-09-05,965959.5919973328,299649.2480798941,666310.3439174386,2,0.6897911149054343,41262814.18691734,neutral,-0.024549898277942406
2022-09-06,989156.7524428753,0.0,989156.7524428753,3,1.0,41561716.18001449,neutral,0.02401462818706257
2022-09-07,984781.3987872836,0.0,984781.3987872836,3,1.0,41561716.18001449,neutral,-0.00442331677440011
2022-09-08,1024975.2936799278,0.0,1024975.2936799278,3,1.0,41561716.18001449,neutral,0.040815042751763286
2022-09-12,1038787.4515718326,365750.0,673037.4515718326,2,0.6479067980205494,41928382.846681155,bull,0.013475600804303767
2022-09-13,1043589.5572962604,31583.333333333372,1012006.223962927,3,0.9697358668333558,42261716.18001449,bull,0.004622799127156796
2022-09-14,1058139.8695305497,31583.333333333372,1026556.5361972165,3,0.9701520240917249,42261716.18001449,bull,0.013942562123739899
2022-09-15,1052959.0431690924,31583.333333333372,1021375.7098357589,3,0.9700051644570361,42261716.18001449,bull,-0.004896164023907246
2022-09-16,1045525.9645553826,31583.333333333372,1013942.6312220492,3,0.9697919187049894,42261716.18001449,bull,-0.00705922862045838
2022-09-19,1037395.550426381,16252.283105022856,1021143.2673213582,3,0.9843335716079147,42914684.21654417,neutral,-0.007776386627049492
2022-09-20,881564.9237395525,717097.6632031755,164467.26053637703,1,0.18656284535314255,44285623.611797124,bull,-0.15021331701565566
2022-09-21,880098.6480141168,717097.6632031755,163000.9848109413,1,0.1852076300523152,44285623.611797124,neutral,-0.001663264594530145
2022-09-22,878386.3661071912,544305.6371886544,334080.72891853674,1,0.3803346019577998,44780736.03350354,neutral,-0.0019455567972854748
2022-09-23,869468.3506330147,0.0,869468.3506330147,3,1.0,45323684.30002589,neutral,-0.01015272529069311
2022-09-26,828390.2081361315,180344.68439657392,648045.5237395576,2,0.7822950070808449,46172818.48655545,neutral,-0.04724512682603832
2022-09-27,831702.7425961534,-2.9103830456733704e-11,831702.7425961534,3,1.0,46984467.38204663,neutral,0.003998761003555451
2022-09-28,803102.2431984971,-2.9103830456733704e-11,803102.2431984971,3,1.0,47290834.36601994,bear,-0.03438788635995127
2022-09-29,820015.5092361355,-2.9103830456733704e-11,820015.5092361355,3,1.0,47290834.36601994,bear,0.021059916319344785
2022-09-30,795636.9675069841,315875.0,479761.96750698413,2,0.6029910462937015,47607501.032686606,bear,-0.029729366645590116
2022-10-03,788817.8720362218,315875.0,472942.8720362218,2,0.5995590221800967,47607501.032686606,bear,-0.008570611659899363
2022-10-04,801285.5370736471,315875.0,485410.5370736471,2,0.6057897149203535,47607501.032686606,bear,0.0158055052749273
2022-10-05,796587.8028652263,315875.0,480712.8028652263,2,0.6034649302137978,47607501.032686606,bear,-0.005862746787590023
2022-10-06,796043.3519039435,315875.0,480168.35190394346,2,0.6031937214920478,47607501.032686606,bear,-0.0006834789075661485
2022-10-07,797579.4502142353,315875.0,481704.45021423534,2,0.6039579506277979,47607501.032686606,bear,0.0019296666527242046
2022-10-11,787801.6084323613,631750.0,156051.6084323613,1,0.19808490711625593,47924167.69935327,bear,-0.012259395323246713
